Id,SalePrice
1461,125714.58865935472
1462,175753.35406955288
1463,202874.4703432849
1464,202426.12950355603
1465,179299.84785387528
1466,182848.05102770787
1467,174978.35539175404
1468,167304.0272716548
1469,193070.9468967513
1470,131904.86992549646
1471,203795.7500301935
1472,110507.08226009562
1473,109547.70703546455
1474,167040.49162202497
1475,80990.75254452506
1476,309960.2265383311
1477,234554.3097801467
1478,263790.58439125074
1479,264339.84844899026
1480,460882.9933476281
1481,308378.84516046447
1482,195547.7424367352
1483,178532.95018228926
1484,162924.78504852104
1485,154118.18147609482
1486,188608.5431202787
1487,279861.16324080335
1488,247515.48214851297
1489,175366.3962099882
1490,243129.74576065858
1491,196426.45172766526
1492,111542.24740734964
1493,189930.6294737081
1494,286480.86437397054
1495,281474.73105428385
1496,228232.7988019978
1497,178350.4806905099
1498,148537.68809652654
1499,144645.0617951831
1500,155397.7654638817
1501,232472.41266364683
1502,140247.10931936424
1503,259682.66102600493
1504,216817.69532501735
1505,212462.8551245195
1506,235156.66587609932
1507,285199.93345389667
1508,250311.7610250244
1509,159267.35909653443
1510,175472.79085026676
1511,169739.78563829232
1512,229408.3399001271
1513,178623.5387362897
1514,142698.8223036945
1515,268938.5858093386
1516,195741.63157386074
1517,160322.16633821788
1518,142248.74525855135
1519,242511.31007323298
1520,143214.68115276296
1521,154483.26007824478
1522,209284.99816578446
1523,109258.31855373408
1524,115746.69892630678
1525,119688.26489155144
1526,127791.5439472103
1527,108544.31699323119
1528,112532.24055234596
1529,159679.75701236498
1530,211803.42394017224
1531,189039.04125914368
1532,101257.25985539991
1533,161655.25876672973
1534,105828.67321792783
1535,169347.82245625026
1536,122877.84406026697
1537,111112.25443984327
1538,158647.10226275816
1539,214700.0213003377
1540,148817.397827521
1541,172243.56686779571
1542,171341.9369609467
1543,208203.46518653003
1544,81866.64517996358
1545,112742.68053499064
1546,122711.869242319
1547,153249.40950475138
1548,130789.84617101116
1549,118099.66694562262
1550,160223.01238988223
1551,143347.48834972963
1552,180719.1564792142
1553,125741.49242576522
1554,101984.6615803816
1555,225179.69919237774
1556,110425.31621769
1557,142810.52515136337
1558,79726.26848506521
1559,126845.43119378545
1560,161164.98181023065
1561,154043.14240275952
1562,91743.35701962103
1563,111996.0893188356
1564,182468.9694788314
1565,138958.27020181812
1566,235041.65455349127
1567,98762.62484453995
1568,241792.32176890242
1569,175902.95381926285
1570,98057.80945528412
1571,110980.41930883803
1572,140371.63105299594
1573,239837.13108445622
1574,160827.52893924539
1575,244633.26109354314
1576,266374.70343656745
1577,182913.0048321486
1578,155308.1424305716
1579,142850.8673486663
1580,203861.5636708825
1581,107049.64412496754
1582,108376.63879226444
1583,333461.58094149077
1584,219304.52168446503
1585,147402.09331659722
1586,47573.38239182443
1587,75298.62521823321
1588,147720.61436957135
1589,132791.09987914778
1590,114993.11840195264
1591,73149.87329893488
1592,166561.4515223333
1593,112936.77943292452
1594,99280.57923167026
1595,127260.90377387137
1596,226550.6859309654
1597,188764.03725072555
1598,177980.34116613457
1599,157076.67663111968
1600,163600.2581338209
1601,83431.99762008499
1602,116549.05634028716
1603,82678.29006123077
1604,250646.8863589036
1605,252022.57309447654
1606,181298.03972418566
1607,195992.4963685384
1608,195979.81029427584
1609,179289.71321082328
1610,151394.36055058197
1611,169281.12392565384
1612,195377.66697823495
1613,182490.49670175195
1614,120530.2008656851
1615,65972.38522071546
1616,61943.09692842439
1617,85672.40248583854
1618,89601.39252580745
1619,119962.88915653594
1620,244557.92753222657
1621,138749.89174102852
1622,129827.11954297312
1623,258600.9830004594
1624,235014.95801783729
1625,121977.44594749503
1626,209573.62172481645
1627,210672.7516857517
1628,268636.9591650329
1629,168396.04150841583
1630,376850.6997789129
1631,204563.29736020108
1632,243871.93915776614
1633,148001.19117670076
1634,196926.9247267919
1635,183005.71452038022
1636,153133.19382873471
1637,231635.89913575625
1638,209480.0439266449
1639,218799.60630194613
1640,277225.68572323973
1641,221732.9086687742
1642,220534.77022035915
1643,210744.36120426087
1644,208025.47163847674
1645,245822.72852602458
1646,178851.83428497595
1647,169050.09155728808
1648,162998.60953405884
1649,133706.53010985523
1650,112759.05958587237
1651,101860.5628714681
1652,112818.64939363887
1653,106888.29622462882
1654,171708.6632491459
1655,147271.49511335115
1656,164111.93380915155
1657,172055.0132208638
1658,161521.63712871328
1659,99785.07621146686
1660,138623.32300015457
1661,401452.4677844422
1662,331035.3681188074
1663,323698.3401651739
1664,451819.52851211134
1665,256550.959506743
1666,305735.5992108499
1667,296049.2360599697
1668,285625.8629849455
1669,257958.76628277544
1670,291622.6684818991
1671,282017.2954594333
1672,419207.9913039878
1673,290967.37884020247
1674,234389.27300854528
1675,216909.08028082343
1676,221450.5532816266
1677,222982.43317482245
1678,442819.52583066036
1679,366608.6194809778
1680,278863.5464054145
1681,218619.91722848237
1682,292595.75958426215
1683,198556.28881644874
1684,170311.5096477164
1685,166005.41328946414
1686,164962.08210005023
1687,138122.75001105087
1688,189762.99285058456
1689,179242.5525125544
1690,190982.93533411523
1691,167919.91738593116
1692,227238.67163072946
1693,149831.98793029456
1694,182565.62204701852
1695,147560.04337862122
1696,276190.11666975834
1697,148190.7121626361
1698,337840.59486576816
1699,302727.54466349335
1700,257600.95032949897
1701,275842.22902980656
1702,250379.86207313547
1703,247576.62953835382
1704,279438.68223728955
1705,205606.6780473382
1706,412285.8339219578
1707,187526.51803326354
1708,187510.48823659855
1709,233716.91874436766
1710,214198.5212572792
1711,244125.48668715236
1712,247875.84483600236
1713,271253.3448558968
1714,215246.19583946865
1715,189770.13376650703
1716,152580.27523835166
1717,139553.20283048216
1718,102650.83411849399
1719,207265.9547656765
1720,233020.44848216866
1721,138618.63778835125
1722,104949.94106083766
1723,167808.9261474432
1724,223690.8511176213
1725,222809.4495964904
1726,185765.34920461234
1727,181551.2182467758
1728,169756.55523091843
1729,168778.6056187984
1730,94900.9982379828
1731,108124.6300299738
1732,116292.2754196673
1733,123672.30071428604
1734,129318.07562073736
1735,106535.09174281059
1736,95561.28512188273
1737,330870.9391530046
1738,220876.1975209475
1739,316149.80940528825
1740,251783.1100906378
1741,214598.60234381468
1742,196358.53173129214
1743,172822.4834185095
1744,275629.74212435563
1745,244794.8278558908
1746,203779.75754855818
1747,229149.79170844523
1748,235476.96844254498
1749,190270.99545313738
1750,152051.19212133225
1751,229649.7875787255
1752,114281.13415345519
1753,193977.60876568774
1754,241373.6998162664
1755,204776.57453676022
1756,132343.98685150477
1757,90032.95260614007
1758,184023.8461018303
